id	short_name
1	two_sum
2	add_two_numbers
3	longest_substring_without_repeating_characters
4	median_of_two_sorted_arrays
5	longest_palindromic_substring
6	zigzag_conversion
7	reverse_integer
8	string_to_integer_atoi
9	palindrome_number
10	regular_expression_matching
11	container_with_most_water
12	integer_to_roman
13	roman_to_integer
14	longest_common_prefix
15	3sum
16	3sum_closest
17	letter_combinations_of_a_phone_number
18	4sum
19	remove_nth_node_from_end_of_list
20	valid_parentheses
21	merge_two_sorted_lists
22	generate_parentheses
23	merge_k_sorted_lists
24	swap_nodes_in_pairs
25	reverse_nodes_in_k_group
26	remove_duplicates_from_sorted_array
27	remove_element
28	implement_strstr
29	divide_two_integers
30	substring_with_concatenation_of_all_words
31	next_permutation
32	longest_valid_parentheses
33	search_in_rotated_sorted_array
34	find_first_and_last_position_of_element_in_sorted_array
35	search_insert_position
36	valid_sudoku
37	sudoku_solver
38	count_and_say
39	combination_sum
40	combination_sum_ii
41	first_missing_positive
42	trapping_rain_water
43	multiply_strings
44	wildcard_matching
45	jump_game_ii
46	permutations
47	permutations_ii
48	rotate_image
49	group_anagrams
50	powx_n
51	n_queens
52	n_queens_ii
53	maximum_subarray
54	spiral_matrix
55	jump_game
56	merge_intervals
57	insert_interval
58	length_of_last_word
59	spiral_matrix_ii
60	permutation_sequence
61	rotate_list
62	unique_paths
63	unique_paths_ii
64	minimum_path_sum
65	valid_number
66	plus_one
67	add_binary
68	text_justification
69	sqrtx
70	climbing_stairs
71	simplify_path
72	edit_distance
73	set_matrix_zeroes
74	search_a_2d_matrix
75	sort_colors
76	minimum_window_substring
77	combinations
78	subsets
79	word_search
80	remove_duplicates_from_sorted_array_ii
81	search_in_rotated_sorted_array_ii
82	remove_duplicates_from_sorted_list_ii
83	remove_duplicates_from_sorted_list
84	largest_rectangle_in_histogram
85	maximal_rectangle
86	partition_list
87	scramble_string
88	merge_sorted_array
89	gray_code
90	subsets_ii
91	decode_ways
92	reverse_linked_list_ii
93	restore_ip_addresses
94	binary_tree_inorder_traversal
95	unique_binary_search_trees_ii
96	unique_binary_search_trees
97	interleaving_string
98	validate_binary_search_tree
99	recover_binary_search_tree
100	same_tree
101	symmetric_tree
102	binary_tree_level_order_traversal
103	binary_tree_zigzag_level_order_traversal
104	maximum_depth_of_binary_tree
